"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model","cor"
"1","jags",59189,2,0.5,0.720000000000027,11603.3040536238,11993.9086615256,20000,11635.3154284203,0.99995012760268,1.00065794141206,1.00030403450737,NA,NA,16115.7000744768,0.720000000000027,"mvnd",0
"2","stan.nuts",59189,2,0.8,0.550000000000011,12014.6646695211,13857.2839953942,20000,11995.9895568532,0.999950271415668,1.00009674646585,0.999994580841428,"diag_e",1.26436513275344,21844.8448536742,0.550000000000011,"mvnd",0
"3","jags",33032,2,0.5,0.689999999999998,12426.1056577831,12545.0571500337,20000,12437.8866784342,0.999954291696257,1.00000810249676,0.999981197096508,NA,NA,18008.8487793958,0.689999999999998,"mvnd",0
"4","stan.nuts",33032,2,0.8,0.5,9690.31575608534,12598.4041857967,20000,9820.63276214475,0.999968732868012,1.00004358292651,1.00000222225512,"diag_e",1.39879191533125,19380.6315121707,0.5,"mvnd",0
"5","jags",19139,2,0.5,0.689999999999998,10627.8055318666,11670.8816251883,20000,12222.0548565652,0.999954864160857,1.00029014824658,1.00012250620372,NA,NA,15402.6167128502,0.689999999999998,"mvnd",0
"6","stan.nuts",19139,2,0.8,0.519999999999982,11734.5491289503,13996.3442322661,20000,11814.7278722018,0.999952663051582,0.999969462922866,0.999956723452758,"diag_e",1.28842880108863,22566.4406325974,0.519999999999982,"mvnd",0
"7","jags",78362,2,0.5,0.67999999999995,12481.3166004365,12512.4731372304,20000,12340.3811317456,0.999962175155622,1.0000434072976,1.00000279122661,NA,NA,18354.8773535845,0.67999999999995,"mvnd",0
"8","stan.nuts",78362,2,0.8,0.53000000000003,10417.7578175315,12122.2866703842,20000,10805.6137237887,0.999973126749022,1.00078280340209,1.00010104571067,"diag_e",1.35736257667191,19656.1468255301,0.53000000000003,"mvnd",0
"9","jags",61413,2,0.5,0.710000000000036,12320.0898145109,12498.8538475599,20000,12599.4695618124,1.00001686535939,1.0002042019969,1.00011053367814,NA,NA,17352.2391753666,0.710000000000036,"mvnd",0
"10","stan.nuts",61413,2,0.8,0.529999999999973,10440.8969841638,12343.0755468816,20000,10748.1975359018,1.00000465355739,1.00013285618468,1.00001255434323,"diag_e",1.37432141178512,19699.8056304987,0.529999999999973,"mvnd",0
"11","jags",72018,2,0.5,0.659999999999968,11429.7961088797,11527.4785232162,20000,11873.8143589937,0.999963156542949,0.999990810859448,0.999976983701198,NA,NA,17317.8728922428,0.659999999999968,"mvnd",0
"12","stan.nuts",72018,2,0.8,0.5,10622.1187858582,12860.7699444634,20000,10481.5975950613,0.999954011490411,0.999966623902724,0.999959860772958,"diag_e",1.38593247959864,21244.2375717163,0.5,"mvnd",0
"13","jags",66788,2,0.5,0.649999999999977,12056.8568448402,12447.8784985521,20000,12696.6752363044,0.999966301785792,1.00001029210352,0.999988296944658,NA,NA,18549.010530524,0.649999999999977,"mvnd",0
"14","stan.nuts",66788,2,0.8,0.569999999999993,12023.9828829189,15975.5863290854,20000,11997.5576195453,0.99995106564006,1.00000966003152,0.999987128202291,"diag_e",1.17097412541621,21094.7068121387,0.569999999999993,"mvnd",0
"15","jags",19639,2,0.5,0.649999999999977,12326.8363701572,12391.880640756,20000,12353.7872215256,0.999995185135046,1.00015848070285,1.00007683291895,NA,NA,18964.3636463963,0.649999999999977,"mvnd",0
"16","stan.nuts",19639,2,0.8,0.510000000000048,10975.3310152542,13091.0608056482,20000,11506.3765704278,0.999952336655964,1.00002287263982,0.999969097625289,"diag_e",1.3470686858033,21520.2568926534,0.510000000000048,"mvnd",0
"17","jags",68716,2,0.5,0.649999999999977,12475.6651504172,12478.9971890952,20000,12477.5082402986,0.999965382631465,1.00003623583496,1.00000080923321,NA,NA,19193.3310006426,0.649999999999977,"mvnd",0
"18","stan.nuts",68716,2,0.8,0.510000000000048,9437.50699007362,11229.9349304675,20000,8797.61413083129,0.999964556125447,1.00006659094256,0.999970148853872,"diag_e",1.41456630188616,18504.9156668093,0.510000000000048,"mvnd",0
"19","jags",34163,2,0.5,0.670000000000016,11903.1430297382,12047.2590792498,20000,12130.4134917911,0.999962288062849,1.00004695304367,1.00000462055326,NA,NA,17765.8851190118,0.670000000000016,"mvnd",0
"20","stan.nuts",34163,2,0.8,0.529999999999973,12258.988916445,13080.3842128123,20000,12366.4236336962,0.999991786889591,1.00008609875574,1.00005736687779,"diag_e",1.22728781336389,23130.1677668786,0.529999999999973,"mvnd",0
"21","jags",52953,2,0.5,0.660000000000025,11737.3003583737,12333.1671377981,20000,11737.6958814968,0.999954607745678,0.999969226657736,0.999961917201707,NA,NA,17783.7884217776,0.660000000000025,"mvnd",0
"22","stan.nuts",52953,2,0.8,0.480000000000018,9418.11925903744,11944.017385528,20000,9453.4987649654,0.999977866918938,1.00022112171764,1.00017752758714,"diag_e",1.44313184413754,19621.0817896606,0.480000000000018,"mvnd",0
"23","jags",75834,2,0.5,0.669999999999959,12677.47671034,12974.3794078349,20000,12508.575442083,0.999949999058873,0.999991436554228,0.999970717806551,NA,NA,18921.6070303593,0.669999999999959,"mvnd",0
"24","stan.nuts",75834,2,0.8,0.549999999999955,10015.0993549608,12042.8622291323,20000,9951.02188131105,0.999955872581415,1.00021070058374,0.99996849430487,"diag_e",1.40598724624156,18209.2715544757,0.549999999999955,"mvnd",0
"25","jags",23712,2,0.5,0.699999999999989,11827.0016273239,11984.1397822607,20000,11766.7661502928,0.999967759513597,1.00005715174489,1.00001245562924,NA,NA,16895.716610463,0.699999999999989,"mvnd",0
"26","stan.nuts",23712,2,0.8,0.5,10346.7993800661,13149.8125466031,20000,9870.06938001525,0.999987002740704,1.00027257129163,0.999987369730554,"diag_e",1.34131387663249,20693.5987601321,0.5,"mvnd",0
"27","jags",80542,2,0.5,0.75,12482.8084189031,12494.5145122978,20000,12444.6383241817,0.999952328398494,0.999994802206428,0.999973565302461,NA,NA,16643.7445585374,0.75,"mvnd",0
